year,cik_number,mktcap
2018,0001409680,6170288
2018,0001489353,7443376
2018,0001500684,99540984
2018,0001431895,3836634
2018,0001509397,45112989
2018,0001479253,36538361
2018,0000932145,9294291
2018,0000768374,1227260
2018,0001545846,3486353
2018,0000927862,3414013
2018,0001494010,2259090
2018,0001524055,15908026
2018,0001510604,15608257
2018,0001525047,357429
2018,0001467093,1373963
2018,0001635729,4451204
2018,0001422471,175854836
2018,0001495651,23637609
2018,0001502154,71412075
2018,0001406194,15930036
2018,0001113152,11622940
2018,0000814643,7354183
2018,0001358429,18505322
2018,0001114727,5574181
2018,0001677324,8729585
2018,0001512981,16198391
2018,0001099957,790117
2018,0001606308,3158871
2018,0001491434,21910550
2018,0001317513,34818092
2018,0001398832,259718631
2018,0001127307,2042529
2018,0000319042,26936534
2018,0001380342,2214826
2018,0001526281,4787466
2018,0001116548,8047044
2018,0001442698,10943265
2018,0001145345,9371973
2018,0001452389,779772897
2018,0001635687,1257898
2018,0001341335,586172548
2018,0001400094,9287319
2018,0001644540,2589809
2018,0001382202,5415415
2018,0001538551,4688268
2018,0000808031,1299607
2018,0001393510,6941091
2018,0001421371,110346349
2018,0001517597,7897615
2018,0001431922,31762336
2018,0001359134,615216
2018,0001403749,14920658
2018,0001587237,2817819
2018,0001538169,160255396
2018,0001546160,533635
2018,0001303180,1227392
2018,0001469375,5261226
2018,0001053574,24131781
2018,0001507713,12739772
2018,0001382367,194020607
2018,0001356452,573563
2018,0001010559,6818976
2018,0001400438,1093655557
2018,0001175870,6596487
2018,0001417082,98128783
2018,0000922368,2569642
2018,0001436018,1899674
2018,0000817390,12325498
2018,0001398713,10634724
2018,0001441412,7866036
2018,0001348227,289930476
2018,0001364483,1317570
2018,0001421569,2918832
2018,0001125769,2511215
2018,0001578010,309235
2018,0000844555,20353958
2018,0001394039,11359683
2018,0001509162,34738636
2018,0001677084,2828355
2018,0001322569,2412068
2018,0001489101,14846874
2018,0001680054,2118403
2018,0000932476,11338544
2018,0001285786,89110096
2018,0001023023,8622912
2018,0001199392,2594635
2018,0001267156,973399
2018,0001505031,163912459
2018,0001142462,6420116
2018,0001745136,1999051
2018,0001136861,1640611
2018,0000872699,15450265
2018,0001427544,62448970
2018,0001123870,47133709
2018,0001395229,79517701
2018,0001463978,13682341
2018,0001001342,39388807
2018,0000837187,6484530
2018,0001541190,16507176
2018,0001310991,1964764
2018,0001363735,395605
2018,0001405663,17846017
2018,0001318998,1010701
2018,0001410129,1544321
2018,0001371156,9645080
2018,0001222659,655626
2018,0001565716,58416759
2018,0000899740,4623338
2018,0001584322,7034301
2018,0001395907,3500342
2018,0001388891,19320396
2018,0001191832,4272825
2018,0001419478,1102624
2018,0001381215,23771266
2018,0000854328,1273687
2018,0001004112,8146623
2018,0001464928,40131070
2018,0001392671,1871265
2018,0001498744,24829331
2018,0001382498,63814585
2018,0001520955,160824
2018,0001548769,2211123
2018,0001475252,40965316
2018,0001399708,14381370
2018,0001364252,3991108
2018,0001432588,5728584
2018,0001377757,144014379
2018,0001277983,1063676
2018,0000801888,3099868
2018,0000936801,3269894
2018,0001384831,32430982
2018,0000835791,1292780
2018,0001088354,1648244
2018,0001293181,1117118
2018,0001603832,21425627
2018,0001038180,9228239
2018,0001339688,8839644
2018,0000831578,3226829
2018,0000833977,1383785
2018,0001365079,720037
2018,0000915908,1803624
2018,0001308964,144145159
2018,0001028277,32515023
2018,0001297467,2084730
2018,0001420049,1274012
2018,0000811835,129681285
2018,0000872024,4518504
2018,0001717391,16038974
2018,0001314958,2809635
2018,0001422085,5789890
2018,0000316888,39002803
2018,0001299878,1388901
2018,0001585505,4264322
2018,0001023109,7185300
2018,0001600660,71567313
2018,0001428049,11442265
2018,0001396181,3961757
2018,0001497574,2744090
2018,0001160191,1948405
2018,0001502853,7921660
2018,0000043462,13713845
2018,0001385564,6176234
2018,0001528236,10793935
2018,0000872043,550135
2018,0001488469,30450475
2018,0001321334,6560070
2018,0001477292,808650157
2018,0001337745,3963492
2018,0001289695,549670
2018,0000800362,1088447
2018,0001421231,3261710
2018,0001608808,961206
2018,0000855950,1297740
2018,0000921968,995939
2018,0001309552,3691533
2018,0000847687,704991
2018,0001314973,1712433
2018,0001388502,1323937
2018,0001401395,253721776
2018,0001177440,3004986
2018,0001730892,11387339
2018,0001356637,1053074
2018,0001508649,22536978
2018,0001403870,23921886
2018,0001158399,12166706
2018,0001571724,2428430
2018,0001561180,90440280
2018,0001040368,6782024
2018,0001479755,4170419
2018,0001548958,9069608
2018,0001478455,160506
2018,0001290982,57131507
2018,0001415758,2008998
2018,0001518764,14332069
2018,0001590252,3261210
2018,0001391621,1994377
2018,0000880009,4536275
2018,0000800914,222217716
2018,0001574239,6448318
2018,0001527712,15022929
2018,0001484449,3028592
2018,0001539472,3774848
2018,0001168960,20365195
2018,0001557440,6104234
2018,0001686000,18329475
2018,0001483016,14671726
2018,0001641229,100209674
2018,0001397616,16533240
2018,0001377524,3327480
2018,0001510070,24424384
2018,0001405537,12546038
2018,0001038182,2841249
2018,0001432952,855313
2018,0001585808,6370064
2018,0001474607,8961368
2018,0001720553,30924147
2018,0001476573,55441862
2018,0001484457,25343245
2018,0001722387,47605238
2018,0001085921,6539066
2018,0001040702,15614763
2018,0001402948,252874692
2018,0001372448,5589249
2018,0001576963,62513978
2018,0001498371,320989727
2018,0001501010,4690765
2018,0001393878,3093668
2018,0001722606,47242131
2018,0001488843,2479498
2018,0001709554,15718365
2018,0001560904,1573007
2018,0001639764,545281
2018,0000930537,338458
2018,0001544770,79269083
2018,0001307926,2563587
2018,0001495744,2101976
2018,0001537513,1698352
2018,0001503778,615864
2018,0001461119,222303728
2018,0001722694,7211046
2018,0001134115,97326721
2018,0001422669,870334
2018,0001495730,4751684
2018,0001514597,82827353
2018,0001475260,8647098217
2018,0000215797,150199339
2018,0001472466,37622359
2018,0001274599,23561657
2018,0001516328,15456962
2018,0001445467,3974555
2018,0001726851,5222988
2018,0001683274,1048124
2018,0001009922,18599968
2018,0001340169,8294519
2018,0001470729,43815825
2018,0001105122,32848440
2018,0001482753,8819576
2018,0001517179,483295
2018,0001393367,19787460
2018,0001494335,4725715
2018,0001480313,6127306
2018,0001601603,9369827
2018,0001600139,6370836
2018,0001570843,12222958
2018,0001477701,203333782
2018,0001479480,1986959
2018,0001466217,2452232
2018,0001377662,2969382
2018,0001598773,19920421
2018,0001543872,8806640
2018,0001389704,2315129
2018,0001450950,1188947
2018,0001296706,22755017
2018,0001440972,279911945
2018,0000810926,49407103
2018,0001435552,1966395
2018,0001165786,3619844
2018,0001504673,6663191
2018,0001421570,32188721
2018,0001488627,828762539
2018,0001543944,12474511
2018,0001497496,5734856
2018,0001543690,10303601
2018,0000863681,445370
2018,0001687411,8403374
2018,0001739332,17279174
2018,0001072011,49784773
2018,0001401420,21957402
2018,0001527246,19841509
2018,0001161879,7910538
2018,0001613186,23018252
2018,0001019742,12961429
2018,0001603961,3460745
2018,0001616885,25729012
2018,0001723455,2674811
2018,0001003112,53051232
2018,0001453767,4553099
2018,0001493130,373655
2018,0001720424,135343261
2018,0001439604,7544417
2018,0001497338,35653959
2018,0001524326,24801270
2018,0001476594,5004893
2018,0001344532,3005670
2018,0001380269,1459900
2018,0001706145,65863452
2018,0001406944,25224875
2018,0001423554,2034735
2018,0001278466,3685197
2018,0001615376,6771136
2018,0001580110,2591597
2018,0001462411,92639200
2018,0001537862,271458
2018,0001535283,8802723
2018,0001270778,1906085
2018,0001482436,693932
2018,0001649009,32152737
2018,0001595332,41107478
2018,0001513117,2128564
2018,0000831606,20595549
2018,0001439729,621896
2018,0001414526,11660321
2018,0001592681,721917
2018,0001468907,2258082
2018,0001680056,137948344
2018,0001339310,645188
2018,0001551206,6293152
2018,0000830406,26216897
2018,0001513298,21951320
2018,0001513573,2460347
2018,0001584425,985581554
2018,0001503338,6729169
2018,0000876390,22731624
2018,0001743067,87027174
2018,0001691710,10206603
2018,0001508931,20744243
2018,0001611322,24140997
2018,0001437522,16697278
2018,0001576148,1699914
2018,0001534900,10071938
2018,0001437561,2161854
2018,0001500620,2982845
2018,0001479464,2312523
2018,0001605196,14871872870
2018,0001172945,24074063
2018,0001628935,18415867
2018,0001254045,1677654053
2018,0001487519,13785543
2018,0001507964,210958095
2018,0001555746,7136882
2018,0001493789,78013065
2018,0001627868,10026127
2018,0001670061,113532586
2018,0001469346,6644193
2018,0001518211,4513518149
2018,0001499289,37167036
2018,0001508428,2346663
2018,0001458057,12824905
2018,0001591956,5990258
2018,0001732162,6800619
2018,0001555980,77550310
2018,0001495414,530826
2018,0001381955,10151457
2018,0001528102,85162772
2018,0001494728,824941974
2018,0001507260,317846712
2018,0001545634,23370187
2018,0001451357,3386285685
2018,0001499360,52875866
2018,0001526491,4375717
2018,0001447116,35378637
2018,0001719252,55610606
2018,0001561650,2387517
2018,0001508844,1556097287
2018,0001508865,1842074
2018,0001503643,4290952
2018,0000081825,3041087
2018,0001545870,18875054
2018,0001562530,84079133
2018,0001528005,1283238
2018,0001517648,5855162
2018,0001718817,20551467
2018,0001500944,60734794
2018,0001481691,4856510
2018,0001521221,19499079
2018,0001652452,1196362
2018,0001503502,6096970
2018,0001526243,165228928
2018,0001502758,26434923
2018,0001528219,82965737
2018,0000833980,4375682
2018,0001444192,78933766
2018,0001439762,530586
2018,0001522142,2785599
2018,0001613979,6072288
2018,0001570505,1158781
2018,0001726733,6797523
2018,0001684888,15346954
2018,0001703253,12575057
2018,0001624775,2114788
2018,0001733418,1869512494
2018,0001719754,19809662
2018,0001215726,202695359
2018,0001611831,44929533
2018,0001710138,125940339
2018,0001615813,57757912
2018,0001647866,16460450
2018,0001540733,11008759
2018,0001546754,4182698
2018,0001706588,793701
2018,0001581214,590452
2018,0001714921,197679415
2018,0001700766,1050084
2018,0001538847,84504092
2018,0001499153,4377221
2018,0001543418,289746268
2018,0001589239,1755839914
2018,0001562905,189639787
2018,0001488681,578269243
2018,0001605649,14069785
2018,0001552501,1688770
2018,0000842622,30663906
2018,0001731712,42051155
2018,0001520060,8382966
2018,0001536811,2704732
2018,0001544883,20265069
2018,0001563058,64905337
2018,0001583962,3940357
2018,0001567663,20579991
2018,0001698535,618731102
2018,0001605281,2652326
2018,0001591619,28508302
2018,0001523671,1333734
2018,0001711141,12447955
2018,0001537863,326673
2018,0001594856,3336488
2018,0001595675,29256972
2018,0001533121,2204028
2018,0001542731,19066406
2018,0001748797,1238222894
2018,0001638298,5829950
2018,0001580923,2346781056
2018,0001639142,13985963
2018,0001591476,31617834
2018,0001688667,3412705
2018,0001598103,11032617
2018,0001684144,143056957
2018,0001497417,91417406
2018,0001564246,516327
2018,0001523060,2174384
2018,0001724641,111656177
2018,0001528591,1184839
2018,0001340476,379205747
2018,0001735514,34487967
2018,0001573888,3009757
2018,0001626064,8256056
2018,0001544474,112441869
2018,0001650196,9518897
2018,0001630301,149205164
2018,0001534381,5994405
2018,0001659574,9876588
2018,0001645751,6729242
2018,0001625584,4702616
2018,0001627272,1371472197
2018,0001682948,158536202
2018,0001617765,4699368
2018,0001703118,5009916
2018,0001592104,4399119
2018,0001710509,25840641
2018,0001504394,967110
2018,0001526890,8474159
2018,0001655332,48939556
2018,0001667361,280450448
2018,0001602380,39155647
2018,0001655412,6916699
2018,0001537317,1850354
2018,0001439727,2957539050
2018,0001582313,159266594
2018,0001533520,8164701
2018,0001519407,7159969
2018,0001649752,35342394
2018,0001509705,1701660
2018,0001419336,11521531
2018,0001511705,16073521
2018,0001515768,46295922
2018,0001519469,6398473
2018,0001548536,7682911
2018,0001618756,13148090671
2018,0001618755,10898753676
2018,0001725569,9431935
2018,0001696431,46843074
2018,0001579026,6158309
2018,0000824590,4294045
2018,0001490596,43456750
2018,0001600864,7134462
2018,0001656472,1883815282
2018,0001677233,2630901
2018,0001646308,17716694
2018,0001606827,3338375
2018,0001697044,11232446
2018,0001724469,3009268
2018,0001633932,18205082
2018,0001627606,41612412
2018,0000913353,2090465809
2018,0001689382,66965266
2018,0001602842,54001602
2018,0001650264,873406283
2018,0001690947,645312180
2018,0001112706,774887
2018,0001610848,18866527
2018,0001534320,5594992
2018,0001699790,20525006
2018,0001646700,313838141
2018,0001542028,20608811
2018,0001162777,2075768292
2018,0000795800,17328535
2018,0001666782,59433320
2018,0001566256,48596987
2018,0001695838,18106915
2018,0001591081,30085801
2018,0001687757,58963474
2018,0001693824,39039435
2018,0000051442,522089484
2018,0001403752,469272193
2018,0001714973,1221388551
2018,0001508527,6712776
2018,0001647320,372998795
2018,0001652499,507542646
2018,0001725964,28798194093
2018,0001718477,15279648
2018,0001160164,9632443
2018,0001725603,19025608
2018,0001590875,9536733
2018,0001464165,14842816
2018,0001205059,7269393
2018,0001124160,137957
2018,0001729149,145353888
2018,0001735948,99988967
2018,0001734520,152256205
2018,0001729038,39528802
2018,0001621906,28495236
2018,0001702123,74139626
2018,0001762359,298671503
2018,0001735678,8104468
2018,0001463000,849838
2018,0000852747,4900961
2018,0001109504,5220923
2018,0001758409,82129346
2018,0001369128,893130
2018,0001302084,35611604
2018,0001002819,5151918542
2018,0001261317,2873108602
2018,0001001085,38111565581
2018,0000016875,25273847499
2018,0001261313,4564593962
2018,0001196733,851893873
2018,0001157806,5502184756
2018,0000049938,19913161252
2018,0000903657,971145856
2018,0000733099,20702181604
2018,0001075124,24405686051
2018,0000939897,53742769
2018,0001056104,1328120595
2018,0001000275,105173222332
2018,0000009631,66006393250
2018,0000926171,15333740673
2018,0000927971,47958879680
2018,0001045520,38267534109
2018,0000947263,101635597740
2018,0000897455,54410213
2018,0001690639,113316922
2018,0000915191,12234369403
2018,0001097362,20029321633
2018,0001086888,28182668496
2018,0000850918,20418331426
2018,0001385426,10121047508
2018,0001434418,103397323
2018,0000036369,5720549
2018,0000352998,73670682
2018,0000811641,38650054
2018,0000743367,347884886
2018,0000874716,16041183755
2018,0000765207,285626776
2018,0000750686,560583225
2018,0001309108,6037065740
2018,0001163165,71779930000
2018,0001164863,1246433281
2018,0001163747,75048325
2018,0001144980,1306642528
2018,0001615942,4513617
2018,0001421517,362493213
2018,0001289848,1157237459
2018,0001201792,467432461
2018,0001230058,60948842
2018,0001604821,863058394
2018,0000749660,62055283
2018,0000755001,753166432
2018,0000792130,148340389
2018,0001073349,2034394137
2018,0001124140,7755016945
2018,0001050377,794684701
2018,0001213660,119127833
2018,0001576197,4212257
2018,0001304421,703955837
2018,0000110621,6619614804
2018,0001234006,519456235
2018,0001266806,67595719
2018,0001472595,876377546
2018,0001500375,60112934
2018,0000706863,213249160
2018,0000718413,85088569
2018,0000778946,966316526
2018,0000912607,17621861
2018,0000911177,1194998083
2018,0001169245,75699668
2018,0001183082,53924976
2018,0001267565,570859320
2018,0001166003,7241052946
2018,0001190370,5974755
2018,0001314727,1604527487
2018,0001195737,3187477119
2018,0001347178,1370515320
2018,0001338065,3796475986
2018,0001429764,44237687
2018,0001353611,136015002
2018,0000004611,16559190
2018,0000077543,798915169
2018,0000093676,40145383
2018,0000031791,8737840599
2018,0000717954,2857188325
2018,0000094538,8509537
2018,0000072741,20610253242
2018,0000109198,60300804509
2018,0000097745,90092565825
2018,0000087802,4646688
2018,0000088121,4141417617
2018,0000016040,3860954025
2018,0000097210,5624862025
2018,0001049502,3488042858
2018,0000096699,8413064
2018,0000004127,16235415783
2018,0000914156,221491145
2018,0000006281,32270509944
2018,0001053706,344703628
2018,0000356037,52706372
2018,0000093751,23937315789
2018,0001029800,593588314
2018,0001037540,17382278746
2018,0000009521,107920131
2018,0000275694,293637832
2018,0000812348,244392135
2018,0001303459,1838530881
2018,0000319201,15981564480
2018,0000746514,5567529
2018,0001467761,24187021
2018,0000813298,124686623
2018,0000830656,3941653
2018,0001709401,1271030183
2018,0000885725,48903519812
2018,0000851205,6658632886
2018,0000350797,5249579328
2018,0000855654,715635724
2018,0000730272,2313140558
2018,0000749038,49213605
2018,0000929940,6623828128
2018,0001049521,1834111695
2018,0000792977,524596646
2018,0000751978,1073541823
2018,0000815094,12876055170
2018,0000876167,1578775655
2018,0001013857,3764252281
2018,0000867840,5404483
2018,0000721447,15249107
2018,0001023313,816400814
2018,0001158895,462920241
2018,0000814676,16240227
2018,0000771266,76534891
2018,0001078075,2184738209
2018,0000857005,12512337511
2018,0000776901,1974335949
2018,0000313143,4462117988
2018,0000859737,11151590908
2018,0001015739,77777856
2018,0000795403,1791670189
2018,0000914712,128766885
2018,0000880807,275433184
2018,0000821127,891868881
2018,0000896841,198800083
2018,0000822818,2763870649
2018,0000875320,42348523696
2018,0000933974,2474496484
2018,0000861838,75292577
2018,0000858470,9636870304
2018,0000749251,11619788656
2018,0001109354,4661025651
2018,0000898437,477647078
2018,0000884121,449410588
2018,0001603978,30952615
